cluster_id,size,dominant_L3,dominant_count,second_L3,second_count,purity,top2_gap,top_L3_counts
9,47,Warranty & Support Extensions,47,,0,1.0,1.0,Warranty & Support Extensions:47
44,45,Antivirus Security Software,45,,0,1.0,1.0,Antivirus Security Software:45
41,40,TVs,40,,0,1.0,1.0,TVs:40
5,39,Notebook Parts & Accessories,39,,0,1.0,1.0,Notebook Parts & Accessories:39
19,39,Keyboards,39,,0,1.0,1.0,Keyboards:39
4,36,Notebook Parts & Accessories,36,,0,1.0,1.0,Notebook Parts & Accessories:36
29,33,PCs/Workstations,33,,0,1.0,1.0,PCs/Workstations:33
30,33,PCs/Workstations,33,,0,1.0,1.0,PCs/Workstations:33
61,33,Screen Protectors,33,,0,1.0,1.0,Screen Protectors:33
59,33,Screen Protectors,33,,0,1.0,1.0,Screen Protectors:33
72,32,Uninterruptible Power Supplies (UPSs),32,,0,1.0,1.0,Uninterruptible Power Supplies (UPSs):32
70,29,Mobile Phone Spare Parts,29,,0,1.0,1.0,Mobile Phone Spare Parts:29
52,29,Printing Supplies,29,,0,1.0,1.0,Printing Supplies:29
27,29,PCs/Workstations,27,Tablets,2,0.9310344827586207,0.8620689655172413,PCs/Workstations:27; Tablets:2
20,28,Keyboards,28,,0,1.0,1.0,Keyboards:28
47,28,Software Licenses/Upgrades,28,,0,1.0,1.0,Software Licenses/Upgrades:28
50,28,Printing Supplies,28,,0,1.0,1.0,Printing Supplies:28
48,26,Software Licenses/Upgrades,26,,0,1.0,1.0,Software Licenses/Upgrades:26
32,25,Print & Scan Accessories,25,,0,1.0,1.0,Print & Scan Accessories:25
34,24,Print & Scan Accessories,24,,0,1.0,1.0,Print & Scan Accessories:24
58,24,Screen Protectors,24,,0,1.0,1.0,Screen Protectors:24
53,24,Cameras & Camcorders,24,,0,1.0,1.0,Cameras & Camcorders:24
16,23,Power Adapters & Inverters,23,,0,1.0,1.0,Power Adapters & Inverters:23
28,23,PCs/Workstations,23,,0,1.0,1.0,PCs/Workstations:23
51,23,Printing Supplies,23,,0,1.0,1.0,Printing Supplies:23
63,23,Fibre Optic Cables,23,,0,1.0,1.0,Fibre Optic Cables:23
60,22,Screen Protectors,22,,0,1.0,1.0,Screen Protectors:22
23,22,Data Storage Devices,22,,0,1.0,1.0,Data Storage Devices:22
21,22,Keyboards,22,,0,1.0,1.0,Keyboards:22
57,21,Computer Monitors,21,,0,1.0,1.0,Computer Monitors:21
0,21,Notebook Parts & Accessories,16,Chassis Components,5,0.7619047619047619,0.5238095238095238,Notebook Parts & Accessories:16; Chassis Components:5
39,21,Display Privacy Filters,21,,0,1.0,1.0,Display Privacy Filters:21
15,21,Power Adapters & Inverters,21,,0,1.0,1.0,Power Adapters & Inverters:21
3,20,Notebook Parts & Accessories,20,,0,1.0,1.0,Notebook Parts & Accessories:20
38,19,Tablets,19,,0,1.0,1.0,Tablets:19
67,19,Networking Cables,19,,0,1.0,1.0,Networking Cables:19
64,18,Mobile Phone Cases,18,,0,1.0,1.0,Mobile Phone Cases:18
10,18,Warranty & Support Extensions,18,,0,1.0,1.0,Warranty & Support Extensions:18
66,18,Networking Cables,18,,0,1.0,1.0,Networking Cables:18
35,17,Print & Scan Accessories,17,,0,1.0,1.0,Print & Scan Accessories:17
37,17,Household Batteries,17,,0,1.0,1.0,Household Batteries:17
49,16,Software Licenses/Upgrades,16,,0,1.0,1.0,Software Licenses/Upgrades:16
18,16,Smartphones,16,,0,1.0,1.0,Smartphones:16
17,16,Smartphones,16,,0,1.0,1.0,Smartphones:16
13,16,System Components,16,,0,1.0,1.0,System Components:16
45,16,Antivirus Security Software,13,Software Licenses/Upgrades,3,0.8125,0.625,Antivirus Security Software:13; Software Licenses/Upgrades:3
55,16,Printing Equipment,16,,0,1.0,1.0,Printing Equipment:16
24,15,Data Storage Devices,15,,0,1.0,1.0,Data Storage Devices:15
22,15,Keyboards,15,,0,1.0,1.0,Keyboards:15
36,15,Data Projectors,15,,0,1.0,1.0,Data Projectors:15
7,14,Notebook Parts & Accessories,14,,0,1.0,1.0,Notebook Parts & Accessories:14
